"BehaviorSpace results (NetLogo 6.3.0)"
"ForestFire/NetLogo/ForestFire.nlogo"
"benchmark_small"
"06/12/2023 02:30:37:459 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","n_ticks","density","seed","[step]"
"7","100","70","55","1"
"12","100","70","1382","1"
"10","100","70","2309","1"
"11","100","70","7612","1"
"4","100","70","2006","1"
"6","100","70","8699","1"
"3","100","70","6177","1"
"9","100","70","9691","1"
"8","100","70","8110","1"
"2","100","70","2558","1"
"1","100","70","7366","1"
"5","100","70","3041","1"
"13","100","70","1141","1"
"18","100","70","6199","1"
"19","100","70","8992","1"
"21","100","70","3925","1"
"15","100","70","9250","1"
"22","100","70","6218","1"
"17","100","70","3977","1"
"20","100","70","1261","1"
"14","100","70","4626","1"
"16","100","70","2116","1"
"25","100","70","1018","1"
"27","100","70","2638","1"
"28","100","70","540","1"
"23","100","70","1676","1"
"24","100","70","3859","1"
"26","100","70","599","1"
"32","100","70","4162","1"
"31","100","70","8911","1"
"33","100","70","834","1"
"29","100","70","5108","1"
"30","100","70","4191","1"
"34","100","70","4766","1"
"37","100","70","5113","1"
"35","100","70","3561","1"
"39","100","70","7100","1"
"36","100","70","7549","1"
"41","100","70","4289","1"
"45","100","70","7173","1"
"40","100","70","8922","1"
"38","100","70","1516","1"
"44","100","70","2041","1"
"42","100","70","805","1"
"43","100","70","7256","1"
"46","100","70","1161","1"
"48","100","70","6264","1"
"50","100","70","4188","1"
"49","100","70","5957","1"
"47","100","70","5020","1"
"51","100","70","8556","1"
"54","100","70","6748","1"
"52","100","70","9758","1"
"60","100","70","59","1"
"56","100","70","5065","1"
"53","100","70","8940","1"
"62","100","70","6742","1"
"55","100","70","8564","1"
"58","100","70","7181","1"
"57","100","70","5877","1"
"59","100","70","1321","1"
"61","100","70","3474","1"
"68","100","70","3616","1"
"64","100","70","7510","1"
"67","100","70","5041","1"
"71","100","70","2996","1"
"69","100","70","8654","1"
"63","100","70","8507","1"
"65","100","70","2992","1"
"66","100","70","1766","1"
"73","100","70","7371","1"
"70","100","70","251","1"
"72","100","70","6013","1"
"74","100","70","2538","1"
"76","100","70","3072","1"
"75","100","70","676","1"
"82","100","70","3447","1"
"78","100","70","6007","1"
"79","100","70","7520","1"
"81","100","70","3622","1"
"85","100","70","9320","1"
"84","100","70","7044","1"
"80","100","70","4420","1"
"87","100","70","5144","1"
"77","100","70","8289","1"
"83","100","70","3457","1"
"86","100","70","3562","1"
"88","100","70","3066","1"
"90","100","70","6681","1"
"89","100","70","4886","1"
"93","100","70","5934","1"
"95","100","70","6088","1"
"91","100","70","4216","1"
"92","100","70","8100","1"
"97","100","70","8132","1"
"94","100","70","9977","1"
"96","100","70","7928","1"
"99","100","70","5091","1"
"100","100","70","3630","1"
"98","100","70","466","1"
